Year,SrcsMalFinanCR_Gov,SrcsMalFinanCR_Ext,SrcsMalFinanPan_Gov,SrcsMalFinanPan_Ext,<--Raw data (with some imputed values),SrcsMalFinanCR_Tot,SrcsMalFinanPan_Tot,NumHouseSprayCR,NumHouseSprayPan
1959,289000,69486,483000,194617,Aggregate measures calculated-->,358486,677617,122526,142848
1960,266000,92243,507000,167308.5,,358243,674308.5,131942,115948
1961,255000,115000,469000,140000,,370000,609000,115513,128200
1962,276000,161400,595000,345433,,437400,940433,78386,271260
1963,270000,76588,639000,232006,,346588,871006,39456,373953
1964,274000,94221,537000,232744,,368221,769744,28088,331795
1965,288000,78091,656000,157368,,366091,813368,38049,383552
1966,329000,135875,663000,318590,,464875,981590,47683,292251
1967,321236,368216,750000,188073,,689452,938073,78646,392532
1968,480899,378218,647000,154492,,859117,801492,132618,333764
1969,393000,330180,695000,463624,,723180,1158624,138241,379549
1970,524200,314117,693000,668330,,838317,1361330,125344,429829
1971,424177,351819,680531,957325,,775996,1637856,116907,427499
1972,437551,324684,1239770,107997,,762235,1347767,110578,293971
1973,710972,26371,1348906,52703,,737343,1401609,74048,197897
1974,798862,73876,1448928,120102,,872738,1569030,75629,180910
1975,815376,88815,1665777,102299,,904191,1768076,62454,130241
1976,969792,37606,1742366,140292,,1007398,1882658,33194,86915
1977,1340264,58592,1639208,84605,,1398856,1723813,24083,60340
1978,1361960,54704,1668233,84096,,1416664,1752329,64545,60954
1979,999738,64307,1695639,95663,,1064045,1791302,61800,64250
1980,1669137,13307,2117855,40957,,1682444,2158812,53205,69954
1981,857380,10793,2082665,11666,,868173,2094331,19868,60330
1982,374704,780,2245196,5993,,375484,2251189,21821,55737
1983,867632,35306,2409449,5993,,902938,2415442,14155,59328
1984,1041904,0,2540907,0,,1041904,2540907,14994,56516
1985,1214583,0,2193961,8000,,1214583,2201961,17814,40802
1986,1116696,0,2321980,0,,1116696,2321980,17559,40392
1987,1136842,0,4033437,0,,1136842,4033437,12899,29046
1988,1093333,0,432561,0,,1093333,432561,18725,18367
1989,1037500,26400,450561,36700,,1063900,487261,19664,19361
1990,1185000,0,3183270,0,,1185000,3183270,12709,13955
1991,1286244.015,0,4106133,0,,1286244.015,4106133,9088,26093
1992,1133922,0,4017394,0,,1133922,4017394,6601,37184
1993,1714017.014,344310,3719976,71000,,2058327.014,3790976,4157,32272
1994,1681194,393308,3633545,124224,,2074502,3757769,13349,46871.5
1995,1527040.473,1065088,3742203,145683,,2592128.473,3887886,4958,61471
1996,1012859,367346,3686553,74973,,1380205,3761526,18267,44000
1997,1104740.339,36373,5505232,0,,1141113.339,5505232,25189,42224
1998,3597000,389,5171984,0,,3597389,5171984,25900,46084
1999,4750000,0,5161509,0,,4750000,5161509,28878,32498
2000,3380000,0,5066318,0,,3380000,5066318,4050,21299.5
2001,2500000,0,4680289,0,,2500000,4680289,110,10101
2002,2880000,0,3986849,0,,2880000,3986849,71,10221
2003,3840000,0,2751541,0,,3840000,2751541,40,5512
2004,2980000,17497.4,5024766,32261.15,,2997497.4,5057027.15,0,4594
2005,3250000,54542.99,5091832,90908.24,,3304542.99,5182740.24,1290,19021
2006,4940000,45509.34,5650871,128486.11,,4985509.34,5779357.11,2487,12027
2007,5750000,117209.29,6546081,86668.97,,5867209.29,6632749.97,0,14090
2008,6720000,41738.97,1300000,53854.5,,6761738.97,1353854.5,627,44891
2009,6240000,0,1459724,0,,6240000,1459724,3700,38982
2010,4845000,0,2152435.155,33502.27,,4845000,2185937.425,2237,26118
2011,5270000,0,3798322,132637.09,,5270000,3930959.09,12000,5172
2012,5350000,0,7919505,44251,,5350000,7963756,5500,4758
2013,4830000,0,7220410,32136,,4830000,7252546,3610,4028
2014,5830000,20000,11117148,177562,,5850000,11294710,0,6239
2015,6830000,64496,5605824,70079,,6894496,5675903,0,2316
2016,5090000,18624,3822596,32912.04,,5108624,3855508.04,206,1935
2017,4980000,9769.92,3671002,82492.16,,4989769.92,3753494.16,1424,1521
